iter	Passed	Remaining
0	208	207949
1	236	118044
2	275	91446
3	308	76760
4	332	66247
5	370	61407
6	404	57407
7	430	53424
8	472	52045
9	515	51074
10	572	51494
11	616	50797
12	655	49802
13	693	48832
14	734	48253
15	826	50826
16	880	50899
17	961	52451
18	1057	54578
19	1118	54789
20	1166	54360
21	1197	53242
22	1229	52236
23	1269	51611
24	1299	50676
25	1327	49723
26	1361	49079
27	1390	48276
28	1429	47877
29	1462	47291
30	1490	46585
31	1521	46026
32	1552	45493
33	1580	44897
34	1611	44434
35	1638	43869
36	1668	43436
37	1699	43017
38	1725	42506
39	1765	42362
40	1797	42051
41	1831	41770
42	1862	41448
43	1891	41107
44	1919	40728
45	1944	40319
46	1972	39987
47	2002	39713
48	2027	39352
49	2065	39248
50	2094	38980
51	2122	38699
52	2152	38459
53	2179	38177
54	2206	37906
55	2230	37594
56	2257	37347
57	2280	37044
58	2310	36847
59	2333	36565
60	2365	36416
61	2390	36162
62	2417	35957
63	2442	35726
64	2469	35516
65	2496	35333
66	2527	35196
67	2569	35218
68	2615	35292
69	2648	35193
70	2686	35145
71	2715	34999
72	2744	34856
73	2772	34693
74	2800	34536
75	2826	34366
76	2857	34255
77	2884	34099
78	2918	34029
79	2950	33927
80	2976	33772
81	3004	33638
82	3031	33491
83	3068	33456
84	3095	33325
85	3120	33165
86	3150	33059
87	3176	32916
88	3205	32812
89	3239	32753
90	3270	32673
91	3303	32605
92	3328	32464
93	3357	32358
94	3386	32259
95	3421	32214
96	3457	32190
97	3486	32093
98	3518	32018
99	3549	31947
100	3582	31887
101	3618	31855
102	3648	31773
103	3680	31704
104	3719	31704
105	3765	31759
106	3808	31785
107	3866	31931
108	3911	31970
109	3944	31911
110	3975	31842
111	4016	31843
112	4049	31789
113	4082	31730
114	4114	31663
115	4149	31620
116	4176	31520
117	4204	31430
118	4237	31374
119	4265	31283
120	4293	31186
121	4319	31086
122	4346	30992
123	4373	30895
124	4407	30850
125	4437	30780
126	4469	30720
127	4502	30676
128	4533	30607
129	4567	30564
130	4603	30535
131	4630	30450
132	4657	30362
133	4686	30289
134	4714	30208
135	4744	30140
136	4777	30095
137	4810	30047
138	4861	30110
139	4904	30126
140	4932	30047
141	4959	29964
142	4986	29881
143	5012	29797
144	5039	29715
145	5072	29670
146	5127	29752
147	5178	29810
148	5220	29815
149	5261	29816
150	5294	29767
151	5328	29726
152	5361	29680
153	5401	29670
154	5442	29671
155	5476	29630
156	5510	29589
157	5540	29523
158	5571	29467
159	5603	29416
160	5709	29755
161	5760	29799
162	5809	29831
163	5840	29770
164	5883	29774
165	5933	29812
166	5986	29862
167	6038	29903
168	6086	29926
169	6144	30000
170	6248	30291
171	6324	30443
172	6385	30526
173	6444	30592
174	6481	30555
175	6520	30529
176	6564	30522
177	6598	30470
178	6637	30442
179	6679	30428
180	6723	30422
181	6769	30423
182	6810	30404
183	6839	30332
